Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option2 name,Option2 value,Option3 name,Option3 value,Price,Price / International,Compare-at price,Compare-at price / International,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Essence Long Lasting Lipstick - 02 Just Perfect,essence-long-lasting-lipstick-02-just-perfect,Essence Long Lasting Lipstick - 02 Just Perfect by Essence. Premium quality lipstick product for everyday use. Perfect for all skin types.,Essence,Health & Beauty > Personal Care > Cosmetics > Lip Makeup > Lipstick,Lipstick,"lipstick, essence, beauty, tira",TRUE,active,TIRA-LIP-00001,,Title,Default,,,,,340,,398,,204,TRUE,,,,,,shopify,280,deny,3,g,TRUE,manual,https://cdn.tiraz5.de/v2/super-fire-62c344/tirabz/wrkr/tiraz5/products/pictures/item/free/original/essence/1034836/0/cuqsTzJrnf-VCZaeBSdNW-1034836_1.jpg,1,Essence Long Lasting Lipstick - 02 Just Perfect - Essence,,FALSE,Essence Long Lasting Lipstick - 02 Just Perfect,Shop Essence Long Lasting Lipstick - 02 Just Perfect by Essence. High-quality lipstick at great prices. Free shipping available.,Health & Beauty > Personal Care > Cosmetics > Lip Makeup > Lipstick,Unisex,Adult,TIRA-LIP-00001,Lipstick,"lipstick, beauty, cosmetics",new,FALSE,Essence,Lipstick,,,
Essence Long Lasting Lipstick - 04 Naive,essence-long-lasting-lipstick-04-naive,Essence Long Lasting Lipstick - 04 Naive by Essence. Premium quality lipstick product for everyday use. Perfect for all skin types.,Essence,Health & Beauty > Personal Care > Cosmetics > Lip Makeup > Lipstick,Lipstick,"lipstick, essence, beauty, tira",TRUE,active,TIRA-LIP-00002,,Title,Default,,,,,340,,403,,204,TRUE,,,,,,shopify,317,deny,3,g,TRUE,manual,https://cdn.tiraz5.de/v2/super-fire-62c344/tirabz/wrkr/tiraz5/products/pictures/item/free/original/essence/1034838/0/2Qbs5OHNl8-NDXFo2aaAN-1034838_1.jpg,1,Essence Long Lasting Lipstick - 04 Naive - Essence,,FALSE,Essence Long Lasting Lipstick - 04 Naive,Shop Essence Long Lasting Lipstick - 04 Naive by Essence. High-quality lipstick at great prices. Free shipping available.,Health & Beauty > Personal Care > Cosmetics > Lip Makeup > Lipstick,Unisex,Adult,TIRA-LIP-00002,Lipstick,"lipstick, beauty, cosmetics",new,FALSE,Essence,Lipstick,,,
Lakme 9 To 5 Matte To Glass Liquid Lip Color - Passion Pink,lakme-9-to-5-matte-to-glass-liquid-lip-color-passion-pink,Lakme 9 To 5 Matte To Glass Liquid Lip Color - Passion Pink by Lakme. Premium quality lipstick product for everyday use. Perfect for all skin types.,Lakme,Health & Beauty > Personal Care > Cosmetics > Lip Makeup > Lipstick,Lipstick,"lipstick, lakme, beauty, tira",TRUE,active,TIRA-LIP-00003,,Title,Default,,,,,650,,748,,390,TRUE,,,,,,shopify,463,deny,7.6,g,TRUE,manual,https://cdn.tiraz5.de/v2/super-fire-62c344/tirabz/wrkr/tiraz5/products/pictures/item/free/original/lakme/1120648/0/DICqDA3GWt-lPhtFtqmi-1120648_1.jpg,1,Lakme 9 To 5 Matte To Glass Liquid Lip Color - Passion Pink - Lakme,,FALSE,Lakme 9 To 5 Matte To Glass Liquid Lip Color - Passion Pink,Shop Lakme 9 To 5 Matte To Glass Liquid Lip Color - Passion Pink by Lakme. High-quality lipstick at great prices. Free shipping available.,Health & Beauty > Personal Care > Cosmetics > Lip Makeup > Lipstick,Unisex,Adult,TIRA-LIP-00003,Lipstick,"lipstick, beauty, cosmetics",new,FALSE,Lakme,Lipstick,,,
Lakme 9 To 5 Matte To Glass Liquid Lip Color - Nut Roast,lakme-9-to-5-matte-to-glass-liquid-lip-color-nut-roast,Lakme 9 To 5 Matte To Glass Liquid Lip Color - Nut Roast by Lakme. Premium quality lipstick product for everyday use. Perfect for all skin types.,Lakme,Health & Beauty > Personal Care > Cosmetics > Lip Makeup > Lipstick,Lipstick,"lipstick, lakme, beauty, tira",TRUE,active,TIRA-LIP-00004,,Title,Default,,,,,650,,796,,390,TRUE,,,,,,shopify,418,deny,7.6,g,TRUE,manual,https://cdn.tiraz5.de/v2/super-fire-62c344/tirabz/wrkr/tiraz5/products/pictures/item/free/original/lakme/1120651/0/G5z3-ZF-0q-duIVbnrX2-1120651_1.jpg,1,Lakme 9 To 5 Matte To Glass Liquid Lip Color - Nut Roast - Lakme,,FALSE,Lakme 9 To 5 Matte To Glass Liquid Lip Color - Nut Roast,Shop Lakme 9 To 5 Matte To Glass Liquid Lip Color - Nut Roast by Lakme. High-quality lipstick at great prices. Free shipping available.,Health & Beauty > Personal Care > Cosmetics > Lip Makeup > Lipstick,Unisex,Adult,TIRA-LIP-00004,Lipstick,"lipstick, beauty, cosmetics",new,FALSE,Lakme,Lipstick,,,
Lakme 9 To 5 Matte To Glass Liquid Lip Color - Beachy Vibe,lakme-9-to-5-matte-to-glass-liquid-lip-color-beachy-vibe,Lakme 9 To 5 Matte To Glass Liquid Lip Color - Beachy Vibe by Lakme. Premium quality lipstick product for everyday use. Perfect for all skin types.,Lakme,Health & Beauty > Personal Care > Cosmetics > Lip Makeup > Lipstick,Lipstick,"lipstick, lakme, beauty, tira",TRUE,active,TIRA-LIP-00005,,Title,Default,,,,,650,,789,,390,TRUE,,,,,,shopify,356,deny,7.6,g,TRUE,manual,https://cdn.tiraz5.de/v2/super-fire-62c344/tirabz/wrkr/tiraz5/products/pictures/item/free/original/lakme/1120650/0/oRixwqfMKG-8f5YWMKZi-1120650_1.jpg,1,Lakme 9 To 5 Matte To Glass Liquid Lip Color - Beachy Vibe - Lakme,,FALSE,Lakme 9 To 5 Matte To Glass Liquid Lip Color - Beachy Vibe,Shop Lakme 9 To 5 Matte To Glass Liquid Lip Color - Beachy Vibe by Lakme. High-quality lipstick at great prices. Free shipping available.,Health & Beauty > Personal Care > Cosmetics > Lip Makeup > Lipstick,Unisex,Adult,TIRA-LIP-00005,Lipstick,"lipstick, beauty, cosmetics",new,FALSE,Lakme,Lipstick,,,
Essence Stay 8H Matte Liquid Lipstick - 08 I Dare You,essence-stay-8h-matte-liquid-lipstick-08-i-dare-you,Essence Stay 8H Matte Liquid Lipstick - 08 I Dare You by Essence. Premium quality lipstick product for everyday use. Perfect for all skin types.,Essence,Health & Beauty > Personal Care > Cosmetics > Lip Makeup > Lipstick,Lipstick,"lipstick, essence, beauty, tira",TRUE,active,TIRA-LIP-00006,,Title,Default,,,,,430,,529,,258,TRUE,,,,,,shopify,413,deny,3,g,TRUE,manual,https://cdn.tiraz5.de/v2/super-fire-62c344/tirabz/wrkr/tiraz5/products/pictures/item/free/original/essence/1034699/0/L1FJ1xbCuR-DEsYFI_y3L-1034699_1.jpg,1,Essence Stay 8H Matte Liquid Lipstick - 08 I Dare You - Essence,,FALSE,Essence Stay 8H Matte Liquid Lipstick - 08 I Dare You,Shop Essence Stay 8H Matte Liquid Lipstick - 08 I Dare You by Essence. High-quality lipstick at great prices. Free shipping available.,Health & Beauty > Personal Care > Cosmetics > Lip Makeup > Lipstick,Unisex,Adult,TIRA-LIP-00006,Lipstick,"lipstick, beauty, cosmetics",new,FALSE,Essence,Lipstick,,,
Typsy Beauty Drink & Blink Curling Mascara - Black,typsy-beauty-drink-blink-curling-mascara-black,Typsy Beauty Drink & Blink Curling Mascara - Black by Typsy Beauty. Premium quality mascara product for everyday use. Perfect for all skin types.,Typsy Beauty,Health & Beauty > Personal Care > Cosmetics > Eye Makeup > Mascara,Mascara,"mascara, typsy-beauty, beauty, tira",TRUE,active,TIRA-MAS-00007,,Title,Default,,,,,899,,1090,,539,TRUE,,,,,,shopify,194,deny,9,g,TRUE,manual,https://cdn.tiraz5.de/v2/super-fire-62c344/tirabz/wrkr/tiraz5/products/pictures/item/free/original/typsy-beauty/1110418/0/MAGiDMxEio-2UcUVZVC2A-1110418-1.jpg,1,Typsy Beauty Drink & Blink Curling Mascara - Black - Typsy Beauty,,FALSE,Typsy Beauty Drink & Blink Curling Mascara - Black,Shop Typsy Beauty Drink & Blink Curling Mascara - Black by Typsy Beauty. High-quality mascara at great prices. Free shipping available.,Health & Beauty > Personal Care > Cosmetics > Eye Makeup > Mascara,Unisex,Adult,TIRA-MAS-00007,Mascara,"mascara, beauty, cosmetics",new,FALSE,Typsy Beauty,Mascara,,,
Typsy Beauty Drink & Blink Lengthening Mascara - Black,typsy-beauty-drink-blink-lengthening-mascara-black,Typsy Beauty Drink & Blink Lengthening Mascara - Black by Typsy Beauty. Premium quality mascara product for everyday use. Perfect for all skin types.,Typsy Beauty,Health & Beauty > Personal Care > Cosmetics > Eye Makeup > Mascara,Mascara,"mascara, typsy-beauty, beauty, tira",TRUE,active,TIRA-MAS-00008,,Title,Default,,,,,899,,1048,,539,TRUE,,,,,,shopify,323,deny,9,g,TRUE,manual,https://cdn.tiraz5.de/v2/super-fire-62c344/tirabz/wrkr/tiraz5/products/pictures/item/free/original/typsy-beauty/1110416/0/qWJq5ljwD_-BUGK4DfZF-1110416-1.jpg,1,Typsy Beauty Drink & Blink Lengthening Mascara - Black - Typsy Beauty,,FALSE,Typsy Beauty Drink & Blink Lengthening Mascara - Black,Shop Typsy Beauty Drink & Blink Lengthening Mascara - Black by Typsy Beauty. High-quality mascara at great prices. Free shipping available.,Health & Beauty > Personal Care > Cosmetics > Eye Makeup > Mascara,Unisex,Adult,TIRA-MAS-00008,Mascara,"mascara, beauty, cosmetics",new,FALSE,Typsy Beauty,Mascara,,,
Essence Double Trouble Mascara - Waterproof Black,essence-double-trouble-mascara-waterproof-black,Essence Double Trouble Mascara - Waterproof Black by Essence. Premium quality mascara product for everyday use. Perfect for all skin types.,Essence,Health & Beauty > Personal Care > Cosmetics > Eye Makeup > Mascara,Mascara,"mascara, essence, beauty, tira",TRUE,active,TIRA-MAS-00009,,Title,Default,,,,,500,,591,,300,TRUE,,,,,,shopify,228,deny,12,g,TRUE,manual,https://cdn.tiraz5.de/v2/super-fire-62c344/tirabz/wrkr/tiraz5/products/pictures/item/free/original/essence/1049102/0/FRoblfor1J-Q7I7uTo8dL-1049102_1.jpg,1,Essence Double Trouble Mascara - Waterproof Black - Essence,,FALSE,Essence Double Trouble Mascara - Waterproof Black,Shop Essence Double Trouble Mascara - Waterproof Black by Essence. High-quality mascara at great prices. Free shipping available.,Health & Beauty > Personal Care > Cosmetics > Eye Makeup > Mascara,Unisex,Adult,TIRA-MAS-00009,Mascara,"mascara, beauty, cosmetics",new,FALSE,Essence,Mascara,,,
Essence Double Trouble Mascara - Extra Black,essence-double-trouble-mascara-extra-black,Essence Double Trouble Mascara - Extra Black by Essence. Premium quality mascara product for everyday use. Perfect for all skin types.,Essence,Health & Beauty > Personal Care > Cosmetics > Eye Makeup > Mascara,Mascara,"mascara, essence, beauty, tira",TRUE,active,TIRA-MAS-00010,,Title,Default,,,,,500,,615,,300,TRUE,,,,,,shopify,264,deny,12,g,TRUE,manual,https://cdn.tiraz5.de/v2/super-fire-62c344/tirabz/wrkr/tiraz5/products/pictures/item/free/original/essence/1049101/0/S9KceCqpGT-25AVOtAwJJ-1049101_1.jpg,1,Essence Double Trouble Mascara - Extra Black - Essence,,FALSE,Essence Double Trouble Mascara - Extra Black,Shop Essence Double Trouble Mascara - Extra Black by Essence. High-quality mascara at great prices. Free shipping available.,Health & Beauty > Personal Care > Cosmetics > Eye Makeup > Mascara,Unisex,Adult,TIRA-MAS-00010,Mascara,"mascara, beauty, cosmetics",new,FALSE,Essence,Mascara,,,
